<DATE_TIME>,event_id,forecast_value,actual_value,impact_type
2024-07-18 12:00:00,999030015,-300000,-2400000,2
2024-07-19 09:00:00,276010014,0,200000,1
2024-07-19 09:00:00,276010015,-1900000,-1600000,1
2024-07-19 11:00:00,999010016,36500000,36700000,1
2024-07-19 11:00:00,724070001,-3198000,-2349000,1
2024-07-23 14:00:00,724030001,94200000,88400000,2
2024-07-24 09:00:00,276040001,-19900000,-18400000,1
2024-07-24 10:00:00,724010008,-6900000,-3500000,1
2024-07-24 10:15:00,250500002,47300000,50700000,1
2024-07-24 10:15:00,250500003,47000000,49500000,1
2024-07-24 10:30:00,276500001,42800000,42600000,2
2024-07-24 10:30:00,276500002,52200000,52000000,2
2024-07-24 10:30:00,276500003,49200000,48700000,2
2024-07-24 11:00:00,999500001,45300000,45600000,1
2024-07-24 11:00:00,999500002,52300000,51900000,2
2024-07-24 11:00:00,999500003,49800000,50100000,1
2024-07-25 01:00:00,250040001,2819300000,2834500000,2
2024-07-25 09:45:00,250010013,99000000,95000000,2
2024-07-25 11:00:00,999010018,2400000,2200000,2
2024-07-25 11:00:00,999010027,900000,1100000,1
2024-07-25 11:30:00,276030001,88300000,86900000,2
2024-07-25 11:30:00,276030002,88500000,87100000,2
2024-07-26 09:45:00,250010007,88000000,91000000,1
2024-07-26 10:00:00,724010009,-100000,300000,1
2024-07-26 10:00:00,724010010,12810000,11270000,1
2024-07-26 11:00:00,380010018,86500000,87600000,1
2024-07-26 11:00:00,380010019,95800000,98900000,1
2024-07-30 08:30:00,250010005,200000,300000,1
2024-07-30 08:30:00,250010006,1000000,1100000,1
2024-07-30 08:30:00,250010008,800000,-500000,2
2024-07-30 10:00:00,724010001,200000,-500000,2
2024-07-30 10:00:00,724010002,3000000,2800000,2
2024-07-30 10:00:00,724010003,300000,-700000,2
2024-07-30 10:00:00,724010004,3500000,2900000,2
2024-07-30 10:00:00,724010005,300000,800000,1
2024-07-30 10:00:00,724010006,1900000,2900000,1
2024-07-30 11:00:00,380010021,400000,900000,1
2024-07-30 11:00:00,276010008,100000,-100000,2
2024-07-30 11:00:00,276010009,-400000,300000,1
2024-07-30 12:00:00,999040003,-9700000,-10500000,2
2024-07-30 12:00:00,999040004,8300000,4800000,2
2024-07-30 12:00:00,999040005,95300000,95800000,1
2024-07-30 12:00:00,999040007,14400000,11200000,2
2024-07-30 12:00:00,999040008,6300000,6800000,1
2024-07-30 12:00:00,999030016,200000,300000,1
2024-07-30 12:00:00,999030017,400000,600000,1
2024-07-30 14:02:00,724080001,-4100000,-4200000,2
2024-07-30 15:00:00,276010020,0,300000,1
2024-07-30 15:00:00,276010021,2200000,2300000,1
2024-07-30 15:00:00,276010022,-100000,500000,1
2024-07-30 15:00:00,276010023,2500000,2600000,1
2024-07-31 09:00:00,276010003,-400000,1200000,2
2024-07-31 09:00:00,276010004,-9200000,-11000000,1
2024-07-31 09:00:00,276010005,-200000,300000,1
2024-07-31 09:00:00,276010006,-700000,-2600000,2
2024-07-31 09:45:00,250010001,0,100000,1
2024-07-31 09:45:00,250010002,1700000,2300000,1
2024-07-31 09:45:00,250010003,0,100000,1
2024-07-31 09:45:00,250010004,2300000,2600000,1
2024-07-31 10:55:00,276060001,12000000,18000000,2
2024-07-31 10:55:00,276060003,2761000,2809000,2
2024-07-31 10:55:00,276060004,2789000,2802000,2
2024-07-31 11:00:00,724040001,2780000,5560000,1
2024-07-31 12:00:00,380010001,100000,500000,1
2024-07-31 12:00:00,380010002,800000,1300000,1
2024-07-31 12:00:00,380010003,-600000,-800000,2
2024-07-31 12:00:00,380010004,900000,1700000,1
2024-07-31 12:00:00,999030010,-300000,-200000,1
2024-07-31 12:00:00,999030011,-400000,0,1
2024-07-31 12:00:00,999030012,2800000,2900000,1
2024-07-31 12:00:00,999030013,2500000,2600000,1
2024-07-31 12:00:00,999030024,0,-100000,2
2024-07-31 13:00:00,380010016,-600000,700000,1
2024-07-31 13:00:00,380010017,1000000,-2500000,2
2024-08-01 10:15:00,724500001,53400000,51000000,2
2024-08-01 10:45:00,380500001,46400000,47400000,1
2024-08-01 10:50:00,250500001,44100000,44000000,2
2024-08-01 10:55:00,276500001,42600000,43200000,1
2024-08-01 11:00:00,999500001,45600000,45800000,1
2024-08-01 12:00:00,999030020,6400000,6500000,2
2024-08-02 09:45:00,250010009,-1400000,800000,1
2024-08-02 10:00:00,724050001,6245000,-10830000,1
2024-08-02 11:00:00,380010005,700000,500000,2
2024-08-02 11:00:00,380010006,-2400000,-2600000,2
2024-08-02 12:00:00,380010014,100000,-200000,2
2024-08-02 12:00:00,380010015,0,-1000000,2
2024-08-05 10:15:00,724500002,55300000,53900000,2
2024-08-05 10:45:00,380500002,52500000,51700000,2
2024-08-05 10:50:00,250500002,50700000,50100000,2
2024-08-05 10:50:00,250500003,49500000,49100000,2
2024-08-05 10:55:00,276500002,52000000,52500000,1
2024-08-05 10:55:00,276500003,48700000,52500000,1
2024-08-05 11:00:00,999500003,50100000,50200000,1
2024-08-05 11:30:00,999060001,-34300000,-139000000,2
2024-08-05 12:00:00,999030005,-500000,500000,1
2024-08-05 12:00:00,999030006,-3800000,-3200000,1
2024-08-06 09:00:00,276010018,400000,3900000,1
2024-08-06 09:00:00,276010019,-2800000,-11800000,2
2024-08-06 09:45:00,250010012,200000,0,2
2024-08-06 12:00:00,999030003,0,-300000,2
2024-08-06 12:00:00,999030004,0,-300000,2
2024-08-07 09:00:00,276010010,-400000,1400000,1
2024-08-07 09:00:00,276010011,-5500000,-4100000,1
2024-08-07 09:00:00,276010001,2300000,-3400000,2
2024-08-07 09:00:00,276010002,-3200000,300000,2
2024-08-07 09:00:00,276010007,23900000,20400000,2
2024-08-07 09:00:00,276010025,35300000,22200000,2
2024-08-07 09:45:00,250050003,-8550000,-6088000,1
2024-08-09 08:30:00,250010014,7100000,7300000,2
2024-08-09 11:00:00,380010001,500000,400000,2
2024-08-09 11:00:00,380010003,-800000,-900000,2
2024-08-09 11:00:00,380010004,1700000,1600000,2
2024-08-09 11:00:00,380010025,100000,400000,1
2024-08-09 11:00:00,380010026,2300000,1100000,2
2024-08-09 12:00:00,380010007,5140000,5065000,2
2024-08-12 09:00:00,276010012,-100000,300000,1
2024-08-12 09:00:00,276010013,-1400000,-100000,1
2024-08-12 15:30:00,276010024,26300000,23200000,2
2024-08-13 12:05:00,276070001,32100000,19200000,2
2024-08-13 12:05:00,276070002,-62900000,-77300000,2
2024-08-13 12:05:00,999050001,41100000,17900000,2
2024-08-14 09:45:00,250010001,100000,200000,1
2024-08-14 09:45:00,250010003,100000,200000,1
2024-08-14 09:45:00,250010004,2600000,2700000,1
2024-08-14 12:00:00,999030002,1000000,800000,2
2024-08-14 12:00:00,999030007,0,-100000,2
2024-08-14 12:00:00,999030008,-3700000,-3900000,2
2024-08-16 12:00:00,999030018,16800000,17500000,1
2024-08-16 12:00:00,999030019,18300000,22300000,1
2024-08-19 11:00:00,724070001,-3081000,-713000,1
2024-08-20 09:00:00,276010014,100000,200000,1
2024-08-20 09:00:00,276010015,-600000,-800000,2
2024-08-20 11:00:00,999010016,36300000,50500000,1
2024-08-20 11:00:00,999010017,20500000,52400000,1
2024-08-20 12:00:00,999030014,0,1700000,1
2024-08-20 12:00:00,999030015,-900000,1000000,1
2024-08-20 12:00:00,999030021,-400000,0,1
2024-08-20 12:00:00,999030022,2100000,2500000,1
2024-08-22 10:15:00,250500001,44900000,42100000,2
2024-08-22 10:15:00,250500002,48800000,55000000,1
2024-08-22 10:15:00,250500003,48100000,52700000,1
2024-08-22 10:30:00,276500001,43800000,42100000,2
2024-08-22 10:30:00,276500002,52600000,51400000,2
2024-08-22 10:30:00,276500003,52000000,48500000,2
2024-08-22 11:00:00,999500002,51500000,53300000,1
2024-08-22 11:00:00,999500003,49800000,51200000,1
2024-08-22 17:00:00,999040006,-12500000,-13400000,2
2024-08-23 09:45:00,250010013,97000000,99000000,1
2024-08-26 10:00:00,724010008,-4100000,-1400000,1
2024-08-26 11:30:00,276030001,85100000,86800000,1
2024-08-26 11:30:00,276030002,87100000,86500000,2
2024-08-26 11:30:00,276030003,85400000,86600000,1
2024-08-27 09:00:00,276040001,-18000000,-22000000,2
2024-08-28 01:00:00,250040001,2815700000,2808400000,1
2024-08-28 09:45:00,250010007,93000000,92000000,2
2024-08-28 11:00:00,999010018,2500000,2300000,2
2024-08-28 11:00:00,999010019,400000,500000,1
2024-08-28 11:00:00,999010026,1000000,600000,2
2024-08-28 11:00:00,999010027,1000000,1300000,1
2024-08-28 11:00:00,380010012,300000,100000,2
2024-08-28 11:00:00,380010013,-4000000,-3700000,1
2024-08-29 10:00:00,724010001,-100000,0,1
2024-08-29 10:00:00,724010002,2600000,2200000,2
2024-08-29 10:00:00,724010003,-300000,0,1
2024-08-29 10:00:00,724010004,2800000,2400000,2
2024-08-29 12:00:00,999040003,-9800000,-9700000,1
2024-08-29 12:00:00,999040004,4300000,6300000,1
2024-08-29 12:00:00,999040005,95500000,96600000,1
2024-08-29 12:00:00,999040006,-13400000,-13500000,2
2024-08-29 12:00:00,999040007,12200000,11300000,2
2024-08-29 12:00:00,999040008,6500000,6100000,2
2024-08-29 12:00:00,999040002,-440000,-620000,2
2024-08-29 13:57:00,724080001,-5100000,-3600000,1
2024-08-29 15:00:00,276010020,400000,-100000,2
2024-08-29 15:00:00,276010021,2300000,1900000,2
2024-08-29 15:00:00,276010022,200000,-200000,2
2024-08-29 15:00:00,276010023,2600000,2000000,2
2024-08-30 09:00:00,276010003,600000,100000,1
2024-08-30 09:00:00,276010004,-10300000,-9500000,2
2024-08-30 09:00:00,276010005,0,100000,1
2024-08-30 09:00:00,276010006,-1600000,-1100000,1
2024-08-30 09:45:00,250010001,500000,600000,1
2024-08-30 09:45:00,250010002,2300000,1900000,2
2024-08-30 09:45:00,250010003,500000,600000,1
2024-08-30 09:45:00,250010004,2600000,2200000,2
2024-08-30 09:45:00,250010005,300000,200000,2
2024-08-30 09:45:00,250010006,1100000,1000000,2
2024-08-30 09:45:00,250010008,200000,300000,1
2024-08-30 09:45:00,250010010,-400000,200000,1
2024-08-30 10:00:00,724010009,-200000,1000000,1
2024-08-30 10:55:00,276060001,14000000,2000000,1
2024-08-30 10:55:00,276060003,2842000,2872000,2
2024-08-30 10:55:00,276060004,2813000,2801000,1
2024-08-30 11:00:00,380010022,7000000,6500000,1
2024-08-30 11:00:00,724040001,3023000,5020000,1
2024-08-30 12:00:00,380010001,300000,200000,2
2024-08-30 12:00:00,380010002,1300000,1100000,2
2024-08-30 12:00:00,380010003,-400000,-100000,1
2024-08-30 12:00:00,999030010,-200000,300000,1
2024-08-30 12:00:00,999030011,300000,200000,2
2024-08-30 12:00:00,999030012,2900000,2800000,2
2024-08-30 12:00:00,999030013,2600000,2200000,2
2024-08-30 12:00:00,999030020,6500000,6400000,1
2024-08-30 12:00:00,999030024,200000,300000,1
2024-08-30 12:00:00,999030025,2700000,2800000,1
2024-08-30 13:00:00,380010018,86500000,87100000,1
2024-08-30 13:00:00,380010019,97900000,96100000,2
2024-09-02 10:15:00,724500001,50700000,50500000,2
2024-09-02 10:45:00,380500001,48800000,49400000,1
2024-09-02 10:50:00,250500001,42100000,43900000,1
2024-09-02 10:55:00,276500001,42100000,42400000,1
2024-09-02 11:00:00,999500001,45600000,45800000,1
2024-09-02 12:00:00,380010016,0,1300000,1
2024-09-02 12:00:00,380010017,600000,-1100000,2
2024-09-03 10:00:00,724050001,27843000,21884000,1
2024-09-04 10:15:00,724500002,53900000,54600000,1
2024-09-04 10:45:00,380500002,51900000,51400000,2
2024-09-04 10:50:00,250500003,52700000,53100000,1
2024-09-04 10:55:00,276500002,51400000,51200000,2
2024-09-04 10:55:00,276500003,48500000,48400000,2
2024-09-04 11:00:00,999500002,53300000,52900000,2
2024-09-04 11:00:00,999500003,51200000,51000000,2
2024-09-04 12:00:00,999030005,300000,800000,1
2024-09-04 12:00:00,999030006,-1700000,-2100000,2
2024-09-05 09:00:00,276010018,-2300000,2900000,1
2024-09-05 09:00:00,276010019,-3400000,3700000,1
2024-09-05 12:00:00,999030003,0,100000,1
2024-09-05 12:00:00,999030004,-500000,-100000,1
2024-09-05 13:30:00,724030001,92700000,89400000,2
2024-09-06 09:00:00,276010010,-100000,-2400000,2
2024-09-06 09:00:00,276010011,-5000000,-5300000,2
2024-09-06 09:00:00,276010001,3200000,1700000,2
2024-09-06 09:00:00,276010002,3400000,5400000,2
2024-09-06 09:00:00,276010007,22000000,16800000,2
2024-09-06 09:00:00,276010025,24200000,20700000,2
2024-09-06 09:45:00,250050003,-7184000,-5884000,1
2024-09-06 09:45:00,250010009,600000,-500000,2
2024-09-06 11:00:00,380010014,-300000,500000,1
2024-09-06 11:00:00,380010015,-200000,1000000,1
2024-09-09 11:30:00,999060001,-71500000,-15400000,1
2024-09-10 10:00:00,724010007,1100000,-400000,2
2024-09-10 11:00:00,380010005,0,-900000,2
2024-09-10 11:00:00,380010006,-2600000,-3300000,2
2024-09-12 09:00:00,276010012,-100000,-800000,2
2024-09-12 09:00:00,276010013,700000,-1100000,2
2024-09-12 10:00:00,724010002,2200000,2300000,1
2024-09-12 11:00:00,380010023,7300000,6800000,1
2024-09-12 15:30:00,276010024,25600000,16000000,2
2024-09-13 09:45:00,250010001,600000,500000,2
2024-09-13 09:45:00,250010002,1900000,1800000,2
2024-09-13 12:00:00,999030007,100000,-300000,2
2024-09-13 12:00:00,999030008,-3600000,-2200000,1
2024-09-16 11:00:00,380010003,-100000,-200000,2
2024-09-16 11:00:00,380010004,1300000,1200000,2
2024-09-16 11:00:00,380010025,200000,100000,2
2024-09-16 11:00:00,380010026,2600000,800000,2
2024-09-16 12:00:00,380010007,5353000,6743000,1
2024-09-16 12:00:00,999030009,4500000,4700000,1
2024-09-16 12:00:00,999030018,16400000,15500000,2
2024-09-16 12:00:00,999030019,19100000,21200000,1
2024-09-16 12:00:00,999030023,4900000,4500000,2
2024-09-17 12:05:00,276070001,12500000,3600000,2
2024-09-17 12:05:00,276070002,-80800000,-84500000,2
2024-09-17 12:05:00,999050001,7500000,9300000,1
2024-09-18 12:00:00,999030011,200000,100000,2
2024-09-18 12:00:00,999030014,-200000,0,1
2024-09-18 12:00:00,999030015,300000,-2200000,2
2024-09-18 12:00:00,999030021,600000,100000,2
2024-09-18 12:00:00,999030022,3300000,2000000,2
2024-09-19 11:00:00,999010016,43100000,39600000,2
2024-09-19 11:00:00,999010017,41300000,48000000,1
2024-09-20 09:00:00,276010014,100000,200000,1
2024-09-20 09:00:00,276010015,-100000,-800000,2
2024-09-20 09:45:00,250010013,97000000,99000000,1
2024-09-20 11:00:00,724070001,-2637000,-3214000,2
2024-09-20 17:00:00,999040006,-12600000,-12900000,2
2024-09-23 10:15:00,250500001,44700000,44000000,2
2024-09-23 10:15:00,250500002,53200000,48300000,2
2024-09-23 10:15:00,250500003,53900000,47400000,2
2024-09-23 10:30:00,276500001,43300000,40300000,2
2024-09-23 10:30:00,276500002,51100000,50600000,2
2024-09-23 10:30:00,276500003,49000000,47200000,2
2024-09-23 11:00:00,999500001,45300000,44800000,2
2024-09-23 11:00:00,999500002,53400000,50500000,2
2024-09-23 11:00:00,999500003,51900000,48900000,2
2024-09-24 11:30:00,276030001,87700000,86300000,2
2024-09-24 11:30:00,276030002,85600000,84400000,2
2024-09-24 11:30:00,276030003,88300000,85400000,2
2024-09-25 01:00:00,250040001,2824700000,2795700000,1
2024-09-25 09:45:00,250010007,93000000,95000000,1
2024-09-25 10:00:00,724010008,-2400000,-1300000,1
2024-09-26 09:00:00,276040001,-18300000,-21200000,2
2024-09-26 10:00:00,724010009,800000,2300000,1
2024-09-26 11:00:00,999010018,2500000,2900000,1
2024-09-26 11:00:00,999010027,1300000,1600000,1
2024-09-26 11:00:00,380010018,87600000,86700000,2
2024-09-26 11:00:00,380010019,98800000,98300000,2
2024-09-27 09:45:00,250010001,100000,-1200000,2
2024-09-27 09:45:00,250010002,1700000,1200000,2
2024-09-27 09:45:00,250010003,300000,-1200000,2
2024-09-27 09:45:00,250010004,2300000,1500000,2
2024-09-27 09:45:00,250010008,0,200000,1
2024-09-27 09:45:00,250010010,-400000,200000,1
2024-09-27 10:00:00,724010001,0,-600000,2
2024-09-27 10:00:00,724010002,2000000,1500000,2
2024-09-27 10:00:00,724010003,800000,-100000,2
2024-09-27 10:00:00,724010004,2200000,1700000,2
2024-09-27 10:00:00,724010006,2900000,3100000,1
2024-09-27 10:55:00,276060001,9000000,17000000,2
2024-09-27 10:55:00,276060003,2846000,2806000,1
2024-09-27 10:55:00,276060004,2812000,2823000,2
2024-09-27 11:00:00,380010012,-1200000,-400000,1
2024-09-27 11:00:00,380010013,-5700000,-4700000,1
2024-09-27 12:00:00,999040003,-10100000,-10900000,2
2024-09-27 12:00:00,999040004,4700000,6700000,1
2024-09-27 12:00:00,999040005,96900000,96200000,2
2024-09-27 12:00:00,999040007,11900000,10900000,2
2024-09-27 12:00:00,999040008,6500000,6200000,2
2024-09-27 12:00:00,380010016,300000,700000,1
2024-09-27 12:00:00,380010017,2000000,-800000,2
2024-09-27 12:00:00,999040002,-660000,-760000,2
2024-09-30 09:00:00,276010003,300000,-500000,1
2024-09-30 09:00:00,276010004,-10000000,-7200000,2
2024-09-30 09:00:00,276010005,100000,-300000,2
2024-09-30 09:00:00,276010006,-1500000,-1200000,1
2024-09-30 11:00:00,724040001,3525000,5790000,1
2024-09-30 12:00:00,380010002,900000,700000,2
2024-09-30 12:00:00,380010003,100000,1200000,1
2024-09-30 12:00:00,380010004,1100000,800000,2
2024-09-30 15:00:00,276010020,-300000,0,1
2024-09-30 15:00:00,276010021,1700000,1600000,2
2024-09-30 15:00:00,276010022,200000,-100000,2
2024-09-30 15:00:00,276010023,1600000,1800000,1
2024-10-01 10:15:00,724500001,49100000,53000000,1
2024-10-01 10:45:00,380500001,50000000,48300000,2
2024-10-01 10:50:00,250500001,44000000,44600000,1
2024-10-01 10:55:00,276500001,40300000,40600000,1
2024-10-01 11:00:00,999500001,44800000,45000000,1
2024-10-01 12:00:00,999030010,800000,100000,2
2024-10-01 12:00:00,999030011,200000,-100000,2
2024-10-01 12:00:00,999030012,2800000,2700000,2
2024-10-01 12:00:00,999030013,2000000,1800000,2
2024-10-01 12:00:00,999030024,500000,100000,2
2024-10-01 12:00:00,999030025,2800000,2700000,2
2024-10-02 10:00:00,724050001,-185000,3164000,2
2024-10-02 11:00:00,380010022,6900000,6200000,1
2024-10-03 10:15:00,724500002,53800000,57000000,1
2024-10-03 10:45:00,380500002,51200000,50500000,2
2024-10-03 10:50:00,250500002,48300000,49600000,1
2024-10-03 10:50:00,250500003,47400000,48600000,1
2024-10-03 10:55:00,276500002,50600000,47500000,2
2024-10-03 10:55:00,276500003,47200000,47500000,1
2024-10-03 11:00:00,999500002,50500000,51400000,1
2024-10-03 11:00:00,999500003,48900000,49600000,1
2024-10-03 12:00:00,999030005,800000,600000,2
2024-10-03 12:00:00,999030006,-300000,-2300000,2
2024-10-04 09:45:00,250010009,-200000,1400000,1
2024-10-04 10:00:00,724010007,300000,-100000,2
2024-10-04 11:00:00,380010024,5400000,3400000,2
2024-10-04 13:00:00,380010014,100000,-500000,2
2024-10-04 13:00:00,380010015,-700000,800000,1
2024-10-07 09:00:00,276010018,200000,-5800000,2
2024-10-07 09:00:00,276010019,-2700000,-3900000,2
2024-10-07 11:30:00,999060001,-42800000,-138000000,2
2024-10-07 12:00:00,999030003,0,200000,1
2024-10-07 12:00:00,999030004,400000,800000,1
2024-10-08 09:00:00,276010010,200000,2900000,1
2024-10-08 09:00:00,276010011,-4800000,-2700000,1
2024-10-08 09:45:00,250050003,-6796000,-7371000,2
2024-10-09 09:00:00,276010001,3400000,1300000,2
2024-10-09 09:00:00,276010002,-900000,-3400000,1
2024-10-09 09:00:00,276010007,19000000,22500000,1
2024-10-09 09:00:00,276010025,23300000,18800000,2
2024-10-10 09:00:00,276010016,-900000,1600000,1
2024-10-10 09:00:00,276010017,-1700000,2100000,1
2024-10-10 11:00:00,380010005,-400000,100000,1
2024-10-10 11:00:00,380010006,-2500000,-3200000,2
2024-10-11 15:30:00,276010024,19900000,14400000,2
2024-10-15 09:00:00,276010012,-100000,-300000,2
2024-10-15 09:00:00,276010013,-1900000,-1600000,1
2024-10-15 09:45:00,250010002,1200000,1100000,2
2024-10-15 09:45:00,250010003,-1200000,-1300000,2
2024-10-15 09:45:00,250010004,1500000,1400000,2
2024-10-15 12:00:00,999030007,300000,1800000,1
2024-10-15 12:00:00,999030008,-100000,100000,1
2024-10-15 12:05:00,276070001,5800000,13100000,1
2024-10-15 12:05:00,276070002,-92500000,-86900000,1
2024-10-15 12:05:00,999050001,21300000,20100000,2
2024-10-16 11:00:00,380010004,800000,700000,2
2024-10-16 11:00:00,380010025,200000,-100000,2
2024-10-16 11:00:00,380010026,1000000,600000,2
2024-10-17 12:00:00,380010007,5109000,1431000,2
2024-10-17 12:00:00,999030013,1800000,1700000,2
2024-10-17 12:00:00,999030018,12700000,11000000,2
2024-10-17 12:00:00,999030019,16600000,4600000,2
2024-10-17 12:00:00,999030021,400000,-100000,2
2024-10-17 12:00:00,999030022,1100000,1600000,1
2024-10-17 12:00:00,999030024,100000,0,2
2024-10-18 11:00:00,999010016,41600000,31500000,2
2024-10-18 11:00:00,999010017,26100000,35200000,1
2024-10-18 11:00:00,724070001,-1658000,-4763000,2
2024-10-18 12:00:00,999030014,200000,100000,2
2024-10-18 12:00:00,999030015,-1400000,-2500000,2
2024-10-21 09:00:00,276010014,100000,-500000,2
2024-10-21 09:00:00,276010015,-400000,-1400000,2
2024-10-23 17:00:00,999040006,-12400000,-12500000,2
